;;;;;;;;;;;;;;;;;;;;;;;;;;;;
toetsrente;<=1,000%;1,001-1,500%;1,501-2,000%;2,001-2,500%;2,501-3,000%;3,001-3,500%;3,501-4,000%;4,001-4,500%;4,501-5,000%;5,001-5,500%;5,501-6,000%;>=6,001%;;;;;;;;;;;;;;;;
bruto inkomen;0;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;13,0%;13,5%;14,5%;15,0%;15,5%;16,5%;17,0%;17,5%;18,0%;18,5%;19,0%;19,5%;;;;;;;;;;;;;;;;
21 500;13,0%;13,5%;14,5%;15,0%;15,5%;16,5%;17,0%;17,5%;18,0%;18,5%;19,0%;19,5%;;;;;;;;;;;;;;;;
22 000;14,0%;15,0%;15,5%;16,5%;17,0%;17,5%;18,5%;19,0%;19,5%;20,0%;20,5%;21,0%;;;;;;;;;;;;;;;;
22 500;14,5%;15,5%;16,5%;17,0%;18,0%;18,5%;19,5%;20,0%;20,5%;21,0%;22,0%;22,5%;;;;;;;;;;;;;;;;
23 000;15,0%;16,0%;17,0%;18,0%;18,5%;19,5%;20,0%;21,0%;21,5%;22,0%;22,5%;23,0%;;;;;;;;;;;;;;;;
23 500;15,0%;16,0%;17,0%;18,0%;19,0%;20,0%;21,0%;21,5%;22,5%;23,0%;23,5%;24,0%;;;;;;;;;;;;;;;;
24 000;15,5%;16,5%;17,5%;18,5%;19,5%;20,5%;21,5%;22,5%;23,0%;24,0%;24,5%;25,0%;;;;;;;;;;;;;;;;
24 500;16,0%;17,0%;18,0%;19,0%;20,0%;21,0%;22,0%;23,0%;24,0%;24,5%;25,0%;26,0%;;;;;;;;;;;;;;;;
25 000;16,0%;17,0%;18,0%;19,0%;20,5%;21,5%;22,5%;23,5%;24,5%;25,5%;26,0%;26,5%;;;;;;;;;;;;;;;;
26 000;16,5%;17,5%;18,5%;19,5%;21,5%;22,5%;23,5%;24,5%;25,5%;26,5%;27,5%;28,0%;;;;;;;;;;;;;;;;
27 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,0%;25,0%;26,0%;27,0%;28,0%;29,0%;;;;;;;;;;;;;;;;
28 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
29 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
30 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
31 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
32 000;17,0%;18,0%;19,0%;20,0%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
33 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
34 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
35 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
36 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
37 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
38 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
39 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
40 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
41 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
42 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
43 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
44 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
45 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
46 000;17,5%;18,5%;19,5%;20,5%;22,0%;23,0%;24,5%;25,5%;26,5%;27,5%;28,5%;29,5%;;;;;;;;;;;;;;;;
